prov,citta,ente,centralina,centralina2,zona,tipo,UTME,UTMN,UTMZONE,lat,lng
TA,Taranto,,Manduria,,,,,,33,40.4005834,17.6295221
LE,Lecce,,San Pietro In Lama,,,,,,33,40.3063303,18.1280333
BAT,Barletta ,,Via Canosa,,,,,,33,41.3114191,16.2630433
LE,Lecce,,Viale Romagna,,,,,,33,40.3405493,18.1822566
BA,Bitonto,,EN01,EN01,,,646607.91,4549012.8,33,41.1088388,16.6906897
BA,Modugno,,Assessorato,EN02 - Assessorato,,,648305,4555516,33,41.0944372,16.780525
BA,Modugno,,Vigili Urbani,EN03 - Vigili Urbani,,,649647,4549969,33,41.0944372,16.780525
BA,Modugno,,SAN PAOLO,EN04 - SAN PAOLO,,,650120,4553064,33,41.0944372,16.780525
BA,Palo del Colle,,EN05?,EN05?,,,642913,4546965,33,,
BR,Cisternino,,Cisternino,Cisternino,,,703972,4513011,33,40.743194,17.4261229
BT,Barletta,,Mezzo Mobile - Via del mare,Mezzo Mobile - Via del mare,,,,,33,41.111738,16.694734
FG,Candela,,Candela,Candela,,,,,33,41.1366132,15.5152695
FG,Candela,,EX COMES,EX COMES,,,,,33,41.1346456,15.5151944
FG,Manfredonia,,Manfredonia - Ungaretti,Manfredonia - Ungaretti,,,,,33,41.627484,15.9065273
FG,Manfredonia,,Via Michelangelo,Via Michelangelo,,,,,33,41.6183755,15.8980867
FG,San Severo,,Azienda Russo,Azienda Russo,,,536767,4599538,33,41.302266,16.068267
FG,San Severo,,Posta del Principe,Posta del Principe,,,532294,4609076,33,41.632761,15.38771954
TA,Taranto,,cokeria,cokeria,,,,,33,40.50013,17.1977
TA,Taranto,,Direzione,Direzione,,,,,33,40.50013,17.1977
TA,Taranto,,Meteo Parchi,Meteo Parchi,,,,,33,40.50013,17.1977
TA,Taranto,,Portineria C,Portineria C,,,,,33,40.50013,17.1977
TA,Taranto,,Riv1,Riv1,,,,,33,40.50013,17.1977
TA,Taranto,,Tamburi,Tamburi,,,,,33,40.50013,17.1977
LE,Lecce,,De Santis,De Santis,,,,,33,40.3541307,18.1742945
TA,Manduria,,Manduria,Manduria,,,,,33,40.4005834,17.6295221
TA,Taranto,,Casa Circondariale,Casa Circondariale,,,,,33,40.4585785,17.278766
